Date,Stock,Action,Shares,Price,Value,Cost
2013-07-25,AAPL,SELL,81284,8.489752769470215,690081.064113617,690.081064113617
2013-07-26,AAPL,BUY,81644,8.510211944580078,694807.7440032959,694.807744003296
2013-07-29,AAPL,BUY,42,8.455657958984375,355.13763427734375,0.35513763427734374
2013-07-30,AAPL,SELL,81801,8.469340324401855,692800.5078763962,692.8005078763962
2013-07-31,AAPL,BUY,304,8.510387420654297,2587.1577758789062,2.5871577758789064
2013-08-01,AAPL,BUY,80165,8.66089153289795,694300.3697347641,694.3003697347641
2013-08-02,AAPL,SELL,248,8.66089153289795,2147.9011001586914,2.1479011001586916
2013-08-05,AAPL,SELL,508,8.742986679077148,4441.437232971191,4.441437232971191
2013-08-06,AAPL,BUY,263,8.729305267333984,2295.807285308838,2.295807285308838
2013-08-07,AAPL,SELL,366,8.804556846618652,3222.4678058624268,3.222467805862427
2013-08-08,AAPL,SELL,454,8.982427597045898,4078.022129058838,4.078022129058838
2013-08-09,AAPL,BUY,442,8.955061912536621,3958.1373653411865,3.9581373653411864
2013-08-12,AAPL,SELL,44,8.948220252990723,393.7216911315918,0.3937216911315918
2013-08-13,AAPL,BUY,402,8.872969627380371,3566.933790206909,3.5669337902069094
2013-08-14,AAPL,SELL,77846,8.886650085449219,691790.1625518799,691.7901625518799
2013-08-15,AAPL,BUY,78250,8.763506889343262,685744.4140911102,685.7444140911102
2013-08-16,AAPL,SELL,79471,8.66089153289795,688289.7110109329,688.2897110109329
2013-08-19,AAPL,SELL,427,8.54459285736084,3648.5411500930786,3.6485411500930787
2013-08-20,AAPL,BUY,544,8.681416511535645,4722.690582275391,4.722690582275391
2013-08-21,AAPL,BUY,79784,8.633530616760254,688817.6067276001,688.8176067276002
2013-08-22,AAPL,SELL,79061,8.811396598815918,696637.8264989853,696.6378264989853
2013-08-23,AAPL,BUY,78429,8.831921577453613,692678.7773981094,692.6787773981094
2013-08-26,AAPL,SELL,78478,8.859286308288574,695259.0709018707,695.2590709018707
2013-08-27,AAPL,BUY,79323,8.708782196044922,690806.7301368713,690.8067301368714
2013-08-28,AAPL,SELL,79869,8.797717094421387,702664.8666143417,702.6648666143418
2013-08-29,AAPL,BUY,79928,8.742986679077148,698809.4392852783,698.8094392852784
2013-08-30,AAPL,SELL,80694,8.69509506225586,701642.0009536743,701.6420009536744
2013-09-03,AAPL,BUY,406,8.688257217407227,3527.432430267334,3.527432430267334
2013-09-04,AAPL,SELL,431,8.647208213806152,3726.9467401504517,3.726946740150452
2013-09-05,AAPL,BUY,18,8.69509506225586,156.51171112060547,0.15651171112060547
2013-09-06,AAPL,BUY,79622,8.955061912536621,713019.9395999908,713.0199395999908
2013-09-09,AAPL,SELL,1131,9.091882705688477,10282.919340133667,10.282919340133667
2013-09-10,AAPL,SELL,370,9.283438682556152,3434.8723125457764,3.4348723125457763
2013-09-11,AAPL,BUY,660,9.187661170959473,6063.856372833252,6.063856372833252
2013-09-12,AAPL,SELL,76490,9.153453826904297,700147.6832199097,700.1476832199097
2013-09-13,AAPL,SELL,178,9.078205108642578,1615.920509338379,1.6159205093383788
2013-09-16,AAPL,BUY,274,9.132932662963867,2502.4235496520996,2.5024235496520997
2013-09-17,AAPL,BUY,76387,9.112404823303224,696069.2672376634,696.0692672376634
2013-09-18,AAPL,SELL,75582,9.338168144226074,705797.4246768951,705.7974246768952
