Date,Portfolio_Value
2013-01-07,657841.3793317277
2013-01-08,642730.5799033196
2013-01-09,643589.0168874676
2013-01-10,642643.3863496084
2013-01-11,646480.5597984757
2013-01-14,647057.4630024174
2013-01-15,644138.4650517192
2013-01-16,643815.8175313831
2013-01-17,644963.827080444
2013-01-18,647892.63232664
2013-01-22,647894.2584786925
2013-01-23,653136.5617653778
2013-01-24,651417.4274133313
2013-01-25,646687.8126065987
2013-01-28,647853.9150553832
2013-01-29,653969.111023197
2013-01-30,657519.5056376646
2013-01-31,651384.3046408338
2013-02-01,654946.0191433872
2013-02-04,656706.4997674073
2013-02-05,662295.111047022
2013-02-06,663740.7043175765
2013-02-07,659761.0116854655
2013-02-08,661554.8604108288
2013-02-11,659769.3454467321
2013-02-12,662404.2747044954
2013-02-13,659383.5472266204
2013-02-14,659387.4288121553
2013-02-15,656770.4462416668
2013-02-19,654642.9887818088
2013-02-20,649044.1631645949
2013-02-21,647533.6296069991
2013-02-22,641004.7973012868
2013-02-25,642433.9475132542
2013-02-26,652655.9678674492
2013-02-27,649609.5005018731
2013-02-28,632787.9545130386
2013-03-01,629751.4335436531
2013-03-04,639551.8065770686
2013-03-05,642720.6717559167
2013-03-06,649080.8552173611
2013-03-07,650927.4795287338
2013-03-08,651987.0425561335
2013-03-11,650543.6039319551
2013-03-12,645765.9625598416
2013-03-13,642524.7462119366
2013-03-14,645354.0439093122
2013-03-15,642542.3183174711
2013-03-18,643956.8952483768
2013-03-19,642391.1768888565
2013-03-20,643296.2255290302
2013-03-21,646666.0491326016
2013-03-22,642632.545161831
2013-03-25,638354.9726932388
2013-03-26,640938.2463330597
2013-03-27,642489.1017050379
2013-03-28,637180.4562950673
2013-04-01,637176.9633881116
2013-04-02,634256.6662548766
2013-04-03,634765.6669862005
2013-04-04,636030.2667417952
2013-04-05,638561.6760402673
2013-04-08,635633.575144757
2013-04-09,641770.3293352579
2013-04-10,644053.3327554957
2013-04-11,647596.6238400564
2013-04-12,647597.5754018683
2013-04-15,652611.4268321057
2013-04-16,644749.1498968141
2013-04-17,649435.9259043264
2013-04-18,652301.5030537383
2013-04-19,653463.3034203831
2013-04-22,644416.7035539974
2013-04-23,644746.0543004863
2013-04-24,649216.6125278787
2013-04-25,651177.8504567647
2013-04-26,656802.4362584912
2013-04-29,658027.7297533874
2013-04-30,662657.5736152674
2013-05-01,666749.7187439075
2013-05-02,666761.4165793426
2013-05-03,667964.4724805178
2013-05-06,665552.4454547232
2013-05-07,665368.8065888623
2013-05-08,660618.9412200853
2013-05-09,657527.4582861161
2013-05-10,638496.8289354201
2013-05-13,647234.7961431469
2013-05-14,652364.5604065168
2013-05-15,654199.5017849365
2013-05-16,653287.4457625685
2013-05-17,648380.1263084668
2013-05-20,645829.9260488178
2013-05-21,647077.546191948
2013-05-22,645079.337169976
2013-05-23,651568.0271259393
2013-05-24,650323.8600948118
2013-05-28,655526.0542636077
2013-05-29,648778.4025839639
2013-05-30,646934.1446626042
2013-05-31,650081.9342002767
2013-06-03,651913.0288576925
2013-06-04,649249.7530748112
2013-06-05,651894.9379607615
2013-06-06,655858.8180892377
2013-06-07,648846.1553995335
2013-06-10,643113.7816449784
